;Speaker;Utterance;Type of repair;Same-turn - specify type;TRP - specify type;Third-turn - specify type;Third-position - specify type;pause;search;repeat;cause;other
AH6;CHI;and where's the washcloth;;;;;;;;;;
AH6;MOT;I don't know was there a washcloth;;;;;;;;;;
AH6;CHI;before [I do it];;;;;;;;;;
AH6;MOT;[maybe there isn't] one maybe it was the pillow were you thinking of a pillow;;;;;;;;;;
AH6;MOT;you could pretend;;;;;;;;;;
AH6;MOT;could you use the blankie maybe;;;;;;;;;;
AH6;MOT;to pretend to use the washcloth;;;;;;;;;;
AH6;CHI;the washcloth is usually here;Third-position;;;;contrast;;;;no uptake;
AH6;CHI;yeah I think I;same-turn;aborting;;;;;;;;
AH6;CHI;mama;;;;;;;;;;
AH6;MOM;yeah;;;;;;;;;;
AH6;MOM;you gonna cast a spell;;;;;;;;;;
AH6;CHI;mama I think we should go in my room;Third-turn;;;recycling;;;;small repeat;;
AH6;CHI;in her nice crib;;;;;;;;;;
AH6;CHI;in her nice crib;TRP;;recycling;;;;;big repeat;;
AH6;CHI;no she eats umm ;same-turn;searching;;;;;small search;;;
AH6;CHI;what is what she's eating;same-turn;reformatting;;;;;;;;
AH6;MOT;I see it looks like green beans;;;;;;;;;;
AH6;CHI;no you see;;;;;;;;;;
AH6;MOT;what is it;;;;;;;;;;
AH6;MOT;is it;;;;;;;;;;
AH6;CHI;no she's eating;Third-position;;;;repetition;;;;;
AH6;MOT;I see it looks delicious;;;;;;;;;;
AH6;CHI;what is it;Third-position;;;;repetition;;;;no uptake;
AH6;CHI;I can't ge[t it];;;;;;;;;;
AH6;MOT;[who lives] in the castle;;;;;;;;;;
AH6;CHI;I can't push this down;Third-turn;;;replacing;;;;;overlap;
AH6;CHI;mommy what [el]se can we [do with this];;;;;;;;;;
AH6;MOT;[here] [wanna roll] it;;;;;;;;;;
AH6;CHI;what else can we do with this wand ;Third-turn;;;recycling;;;;;overlap;
AH6;CHI;she's going right here see because she- cause she has a hurty f- cause she has a hurty foot;same-turn;recycling;;;;;;;stuttering;
AH6;CHI;(a lot of stuttering);;recycling;;;;;;;stuttering;
AH6;CHI;she doesn't make;same-turn;aborting;;;;;;;;
AH4;CHI;she she she;same-turn;recycling;;;;;repetition search;;stuttering;
AH4;CHI;she she she;same-turn;aborting;;;;word repeat;;;;
AH4;CHI;the the soap;same-turn;recycling;;;;;;small repeat;stuttering;
AH4;CHI;this is the soap;;;;;;;;;;
AH4;MOT;a little sponge;;;;;;;;;;
AH4;CHI;the soap;Third-position;;;;repetition;;;;no uptake;
AH4;MOT;[do you w]anna get her blankie [ready for her to] come out;;;;;;;;;;
AH4;CHI;[the s-] [where's the soap];same-turn;aborting;;;;;;;;
AH4;CHI;where's the soap;Third-turn;;;recycling;;;;;overlap;
AH4;CHI;i'll [read the];same-turn;aborting;;;;;;;overlap;
AH4;MOT;[can you t]urn this way;;;;;;;;;;
AH4;MOT;the baby can sit with us too okay;;;;;;;;;;
AH4;CHI;I want to read the book to my baby;Third-turn;;;reformatting;;;;;;
AH4;CHI;where's the bed where's the bed;same-turn;recycling;;;;;repetition search;big repeat;;
AH4;CHI;no that's his;same-turn;aborting;;;;;;;;
AH4;CHI;maybe he maybe maybe he's gonna go to beddy;same-turn;recycling;;;;;repetition search;small repeat;;
AH4;CHI;m h[e's gonna];same-turn;aborting;;;;;;;;
AH4;MOT;[pretty f]ancy jammies;;;;;;;;;;
AH4;CHI;he's gonna put his shoes on;Third-turn;;;recycling;;;;;overlap;
AH4;CHI;time to go to bedy time to go to bedy;same-turn;recycling;;;;;;big repeat;;
AH4;CHI;where's her bed;;;;;;;;;;
AH4;CHI;where's her bed;TRP;;recycling;;;;;big repeat;no uptake;
AH4;CHI;I'll take- I'll close my eyes;same-turn;replacing;;;;;;;;
AH4;CHI;can you put this;;;;;;;;;;
