;Speaker;Utterance;Type of repair;Same-turn - specify type;TRP - specify type;Third-turn - specify type;Third-position - specify type;pause;search;repeat;cause;other;comments
Adam5;CHI;I have a nice chair that we bought f- for- (.) for you;same-turn;recycling;;;;short pause;;small repeat;stuttering;;
Adam5;MOT;oh, it's so f[ar] away;;;;;;;;;;;
Adam5;CHI;[it's];same-turn;aborting;;;;;;;overlap;;
Adam5;CHI;maybe you (.) [xxx];same-turn;aborting;;;;;;;overlap;;
Adam5;MOT;[oh] thank you bear;;;;;;;;;;;
Adam5;CHI;it's so comfy that you;same-turn;aborting;;;;;;;;;
Adam5;CHI;no one can leave it;same-turn;replacing;;;;;;;;;
Adam5;CHI;no one can sit on, on our chair;TRP;;replacing;;;;;;;irregular continuation;
Adam5;CHI;no one can sit on, on our chair;same-turn;recycling;;;;;;small repeat;stuttering;;
Adam5;CHI;whenever you want;same-turn;aborting;;;;;;;;;
Adam5;CHI;whenever you;same-turn;aborting;;;;;;;;;
Adam5;CHI;you;same-turn;aborting;;;;;repetition search;;;;
Adam5;CHI;you;same-turn;aborting;;;;;repetition search;;;;
Adam5;CHI;you tell him you you can come to my house;same-turn;recycling;;;;;;small repeat;stuttering;;
Adam5;CHI;whenever you want;;;;;;;;;;;
Adam5;CHI;whenever you;TRP;;recycling;;;;;big repeat;;;
Adam5;CHI;you;TRP;;recycling;;;;;small repeat;;;
Adam5;CHI;you;TRP;;recycling;;;;;small repeat;;;
Adam5;CHI;you tell him you you can come to my house;TRP;;reformatting;;;;;;;irregular continuation;
Adam5;CHI;like;same-turn;aborting;;;;;;;;;
Adam5;CHI;well you gonna;same-turn;aborting;;;;;;;;;
Adam5;CHI;xxx how about we go at the same time tomorrow;same-turn;reformatting;;;;;;;;;
Adam5;CHI;they're going to the;same-turn;aborting;;;;;;;;;
Adam5;;(1.0);same-turn;searching;;;;long pause;pause search;;;;
Adam5;CHI;I don't know;;;;;;;;;;;
