File;Speaker;Utterance;Type of repair;Same-turn - specify type;TRP - specify type;Third-turn - specify type;Third-position - specify type;pause;search;repeat;cause;other;comments
Albert6;CHI;I don't know what that-;;;;;;;;;;;
Albert6;;(1.5);same-turn;searching;;;;long pause;pause search;;;;
Albert6;CHI;I don't know what that is called;same-turn;recycling;;;;;;big repeat;;;
Albert6;CHI;I'm brushing the (.3) her eyebrows (.) a;same-turn;replacing;;;;short pause;;;;;
Albert6;CHI;all a;same-turn;recycling;;;;;;small repeat;;;
Albert6;CHI;all around to;same-turn;recycling;;;;;;small repeat;;;
Albert6;;(1.6);same-turn;searching;;;;long pause;pause search;;;;
Albert6;CHI;to somewhere;;;;;;;;small repeat;;;
Albert6;CHI;I'm brushing the (.3) her eyebrows (.) a;same-turn;aborting;;;;;;;;;
Albert6;CHI;all a;same-turn;aborting;;;;;;;;;
Albert6;CHI;all around to;same-turn;recycling;;;;;;;;;
Albert6;CHI;it- it- it's going (.) to five ten fifty school;same-turn;recycling;;;;;;small repeat;stuttering;;
Albert6;CHI;they're gonna take the;;;;;;;;;;;
Albert6;;(3.5);same-turn;searching;;;;long pause;pause search;;;;
Albert6;CHI;the baby powder to school;same-turn;recycling;;;;;;small repeat;;;
Albert6;MOT;oh;;;;;;;;;;;
Albert6;MOT;good idea;;;;;;;;;;;
Albert6;CHI;and they;same-turn;aborting;;;;;;small repeat;;;
Albert6;CHI;and they talk about;same-turn;recycling;;;;;;;;;
Albert6;;(1.2);same-turn;searching;;;;long pause;pause search;;;;
Albert6;CHI;xxx;;;;;;;;;;;
Albert6;;(2.0);;;;;;long pause;;;;;
Albert6;CHI;then I'm gonna take ;;;;;;;;;;;
Albert6;;(1.5);same-turn;searching;;;;long pause;pause search;;;;
Albert6;CHI;xxx;;;;;;;;;;;
Albert6;;(5.0);;;;;;long pause;;;;;
Albert6;MOT;what are they doing;;;;;;;;;;;
Albert6;CHI;they are ;;;;;;;;;;;
Albert6;;(3.0);same-turn;searching;;;;long pause;pause search;;;;
Albert6;CHI;xxx;;;;;;;;;;;
Albert6;;(0.5);same-turn;searching;;;;short pause;;;;;
Albert6;CHI;th- that stuff um xxx;same-turn;recycling;;;;;small search;;stuttering;;
Albert6;;(1.1);same-turn;searching;;;;long pause;pause search;;;;
Albert6;CHI;that stuff's gonna be taken to ;same-turn;recycling;;;;;;;;;
Albert6;;(2.0);same-turn;searching;;;;long pause;pause search;;;;
Albert6;CHI;the school;;;;;;;;;;;
Albert6;CHI;eh [wh-];same-turn;aborting;;;;;;;overlap;;
Albert6;MOT;[you can do it] again;;;;;;;;;;;
Albert6;MOT;and then I'm gonna try;;;;;;;;;;;
Albert6;CHI;why did it do that;Third-turn;;;recycling;;;;small repeat;;;
Albert6;CHI;no wanna leg- legos;same-turn;recycling;;;;;;small repeat;stuttering;;
Albert6;CHI;I;;;;;;;;;;;
