;Speaker;Utterance;Type of repair;Same-turn - specify type;TRP - specify type;Third-turn - specify type;Third-position - specify type;pause;search;repeat;cause;other;comments
AD6;CHI;yeah I'm starting to get hungry;;;;;;;;;;;
AD6;MOM;(laughs);;;;;;;;;;;
AD6;CHI;I'm really hungry;Third-position;;;;specification;;;;;;child perceives the mom not taking them seriously
AD6;CHI;it's a-;same-turn;aborting;;;;;;;stuttering;;
AD6;CHI;it's a little bunny rabbit;same-turn;recycling;;;;;;small repeat;stuttering;;
AD6;CHI;oh, I think;same-turn;aborting;;;;;;;;;
AD6;CHI;I think that is a tail;same-turn;recycling;;;;;;big repeat;;;
AD6;MOT;slides [right] off;;;;;;;;;;;
AD6;CHI;[that's] that's because it's not a real one;same-turn;recycling;;;;;;small repeat;overlap;;
AD6;CHI;um, maybe to a, maybe to a wedding;same-turn;searching;;;;;small search;;;;
AD6;CHI;um, maybe to a, maybe to a wedding;same-turn;recycling;;;;;;big repeat;;;
AD6;CHI;um, a tie;same-turn;searching;;;;;small search;;;;
AD6;CHI;um, honey;same-turn;searching;;;;;small search;;;;
AD6;CHI;it's- was that the only page;same-turn;reformatting;;;;;;;;;
AD6;CHI;[one];;;;;;;;;;;
AD6;MOT;[one];;;;;;;;;;;
AD6;CHI;one;Third-turn;;;recycling;;;;;overlap;;
AD6;CHI;they=;same-turn;aborting;;;;overlap;;;;;
AD6;MOT;=what are they;;;;;;;;;;;
AD6;CHI;hm, dolphins;same-turn;searching;;;;;small search;;;;
AD6;CHI;but why does;same-turn;aborting;;;;;;;;;
AD6;CHI;does this one;same-turn;reformatting;;;;;;;;;
AD6;CHI;does it;same-turn;replacing;;;;;;;;;
AD6;CHI;is it a eel;same-turn;reformatting;;;;;;;;;
AD6;CHI;um a hamster;same-turn;searching;;;;;small search;;;;
AD6;CHI;i think it's;same-turn;aborting;;;;;;;;;
AD6;MOT;those are baby rabbits;;;;;;;;;;;
AD6;CHI;i think;same-turn;aborting;;;;;;;;;
AD6;MOT;some seeds maybe;;;;;;;;;;;
AD6;CHI;the cats;;;;;;;;;;;
AD6;CHI;no that;TRP;;replacing;;;;;;;;
AD6;CHI;that looks like hamster;same-turn;recycling;;;;;;small repeat;;;
AD6;CHI;um, did I cry;same-turn;searching;;;;;small search;;;;
AD6;MOT;should we do it high or low;;;;;;;;;;;
AD6;CHI;big;;;;;;;;;;;
AD6;CHI;higher;TRP;;replacing;;;;;;misspeak;;
AD6;CHI;um elephant;same-turn;searching;;;;;small search;;;;
AD6;CHI;um this one;same-turn;searching;;;;;small search;;;;
AD6;CHI;um elephant;same-turn;searching;;;;;small search;;;;
AD6;CHI;um a tongue;same-turn;searching;;;;;small search;;;;
AD4;CHI;um I don't know;same-turn;searching;;;;;small search;;;;
AD4;CHI;I left my duck at li by beh library;same-turn;replacing;;;;;;;stuttering;;
AD4;MOT;tropical fish swim in [warm wa]ter;;;;;;;;;;;
AD4;CHI;[that's like];;;;;;;;;;;
AD4;CHI;like Nemo;same-turn;recycling;;;;;;;overlap;;
AD4;CHI;and he died a[nd];same-turn;aborting;;;;;;;overlap;;
AD4;MOT;[and] he died;;;;;;;;;;;
AD4;CHI;uh;same-turn;searching;;;;;small search;;;;
AD4;CHI;uh dog;same-turn;searching;;;;;small search;;;;
AD4;CHI;uh fish;same-turn;searching;;;;;small search;;;;
AD4;CHI;uh horse;same-turn;searching;;;;;small search;;;;
AD4;CHI;uh puppy dog;same-turn;searching;;;;;small search;;;;
AD4;CHI;uh nobody;same-turn;searching;;;;;small search;;;;
AD4;CHI;uh Dandy;same-turn;searching;;;;;small search;;;;
