file;Speaker;Utterance;Type of repair;Same-turn - specify type;TRP - specify type;Third-turn - specify type;Third-position - specify type;pause;search;repeat;cause;other;comments
AS6;CHI;no;;;;;;;;;;;
AS6;CHI;no, it's not;TRP;;recycling;;;;;small repeat;;;
AS6;CHI;it's n- it's not;TRP;;recycling;;;;;small repeat;;;
AS6;CHI;it's n- it's not;same-turn;recycling;;;;;;small repeat;stuttering;;
AS6;CHI;no cause he [xxx];same-turn;aborting;;;;;;;overlap;;
AS6;MOT;[can] the fishie go in there;;;;;;;;;;;
AS6;CHI;that- that's not baby brush;same-turn;recycling;;;;;;small repeat;stuttering;;
AS6;CHI;I'm gon- I'm gonna knock over the spoon;same-turn;recycling;;;;;;small repeat;stuttering;;
AS6;CHI;I can do that;;;;;;;;;;;
AS6;CHI;do that;TRP;;recycling;;;;;big repeat;;;
AS6;CHI;let me do it;;;;;;;;;;;
AS6;CHI;let [me];TRP;;recycling;;;;;big repeat;;;
AS6;CHI;let [me];same-turn;aborting;;;;;;;overlap;;
AS6;MOT;[wow];;;;;;;;;;;
AS6;CHI;let me do it;;;;;;;;;;;
AS6;CHI;let me pop it;TRP;;replacing;;;;;;;;
AS6;CHI;I- I am;same-turn;recycling;;;;;;small repeat;stuttering;;
AS6;CHI;let me- let me xxx that side;same-turn;recycling;;;;;;small repeat;stuttering;;
AS4;CHI;xxx my balloon out;;;;;;;;;;;
AS4;MOT;hey;;;;;;;;;;;
AS4;MOT;what do you;;;;;;;;;;;
AS4;MOT;oh;;;;;;;;;;;
AS4;MOT;xxx;;;;;;;;;;;
AS4;CHI;xxx my balloon out;Third-turn;;;recycling;;;;;no uptake;;
AS4;MOT;yeah;;;;;;;;;;;
AS4;MOT;xxx over here;;;;;;;;;;;
AS4;CHI;my balloons out;Third-position;;;;repetition;;;;no uptake;;
AS4;CHI;hey;;;;;;;;;;;
AS4;CHI;hey;TRP;;recycling;;;;;;no uptake;;
AS4;CHI;hey;TRP;;recycling;;;;;;no uptake;;
AS4;CHI;driving xxx;;;;;;;;;;;
AS4;CHI;driving;TRP;;recycling;;;;;;no uptake;;
AS4;CHI;I;same-turn;aborting;;;;;;;;;
AS4;MOT;did you s[ee the] car;;;;;;;;;;;
AS4;CHI;[xxx];;;;;;;;;;;
AS4;CHI;xxx broken;TRP;;recycling;;;;;small repeat;overlap;;
AS4;MOT;hop[efully never again];;;;;;;;;;;
AS4;CHI;[what;;;;;;;;;;;
AS4;CHI;what's that];same-turn;recycling;;;;;;small repeat;overlap;;
AS4;MOT;remember we saw [those] at the zoo;;;;;;;;;;;
AS4;CHI;[that];;;;;;;;;;;
AS4;CHI;what's that;same-turn;recycling;;;;;;small repeat;overlap;;
AS4;CHI;[xxx];;;;;;;;;;;
AS4;CHI;[xxx];TRP;;recycling;;;;;small repeat;overlap;;
AS4;MOT;okay;;;;;;;;;;;
AS4;CHI;xxx there;Third-turn;;;recycling;;;;small repeat;overlap;;
AS4;CHI;xxx there;;;;;;;;;;;
AS4;MOT;hey;;;;;;;;;;;
AS4;MOT;look what I got;;;;;;;;;;;
AS4;CHI;what;;;;;;;;;;;
AS4;MOT;look;;;;;;;;;;;
AS4;MOT;look what I got;;;;;;;;;;;
AS4;MOT;do you want one of them;;;;;;;;;;;
AS4;MOT;do you want one;;;;;;;;;;;
AS4;CHI;no;;;;;;;;;;;
AS4;MOT;no;;;;;;;;;;;
AS4;CHI;xxx;Third-position;;;;repetition;;;small repeat;no uptake;;
AS4;CHI;no;;;;;;;;;;;
AS4;CHI;no peoples;TRP;;inserting;;;;;;;;
AS4;CHI;big;;;;;;;;;;;
AS4;MOT;what do you say;;;;;;;;;;;
AS4;CHI;please;;;;;;;;;;;
AS4;MOT;okay;;;;;;;;;;;
AS4;CHI;do big;Third-position;;;;reformulation;;;;;;
AS4;CHI;i want one;;;;;;;;;;;
AS4;CHI;i want one;TRP;;recycling;;;;;big repeat;no uptake;;
AS4;CHI;um big;same-turn;searching;;;;;small search;;;;
AS4;CHI;look it;;;;;;;;;;;
AS4;CHI;look it;TRP;;recycling;;;;;big repeat;no uptake;;
AS4;CHI;a mouth;;;;;;;;;no uptake;;
