File;Speaker;Utterance;Type of repair;Same-turn - specify type;TRP - specify type;Third-turn - specify type;Third-position - specify type;pause;search;repeat;cause;other;comments
Anthony6;CHI;this is a ele- elephant xxx;same-turn;recycling;;;;;;small repeat;stuttering;;
Anthony6;CHI;xx[x];same-turn;aborting;;;;;;;overlap;;
Anthony6;MOT;[does he] swim in the bath tub or the ocean;;;;;;;;;;;
Anthony6;CHI;he swims on land;;;;;;;;;;;
Anthony6;CHI;noo;same-turn;replacing;;;;;;;;literal self repair;
Anthony6;CHI;he lives on the water and he don't swims on the land;same-turn;replacing;;;;;;;;;
Anthony6;CHI;I'm going to school to drive and [I];same-turn;aborting;;;;;;;overlap;;
Anthony6;MOT;[who's] gonna drive the school bus;;;;;;;;;;;
Anthony6;CHI;it's not;same-turn;aborting;;;;;;;;;
Anthony6;CHI;it's Jack;same-turn;replacing;;;;;;;;;
Anthony6;CHI;it's hokey dokey;TRP;;replacing;;;;;;;;
Anthony6;CHI;we're here;;;;;;;;;;;
Anthony6;MOT;go ahead baby elephant;;;;;;;;;;;
Anthony6;CHI;we're here;Third-turn;;;recycling;;;;big repeat;no uptake;;
Anthony6;CHI;we're here;TRP;;;recycling;;;;big repeat;no uptake;;
Anthony6;CHI;xx[x];same-turn;aborting;;;;;;;overlap;;
Anthony6;MOT;[is m]ommy elephant gonna knock it down;;;;;;;;;;;
Anthony6;CHI;but where's baby e;;;;;;;;;misspeak;;
Anthony6;CHI;where's mommy elephant;same-turn;replacing;;;;;;;;;
Anthony6;CHI;I wanna swipe;;;;;;;;;;;
Anthony6;CHI;I wanna swipe that;TRP;;recycling;;;;;;;;
Anthony6;CHI;you [never find];same-turn;aborting;;;;;;;overlap;;
Anthony6;MOT;[you'll never] find it now;;;;;;;;;;;
Anthony6;CHI;[where's ma];same-turn;aborting;;;;;;;;;
Anthony6;CHI;where's momma elephant;same-turn;recycling;;;;;;;overlap;;
Anthony6;CHI;I have to- I have to go to the bathroom;same-turn;recycling;;;;;;big repeat;;;
Anthony6;CHI;oo I;;;;;;;;;;;
Anthony6;CHI;I want to count the birdies;same-turn;recycling;;;;;;small repeat;stuttering;;
Anthony6;CHI;I wanna count on xxx and count how many birdies are all;TRP;;recycling;;;;;small repeat;;;
Anthony6;CHI;I wanna count how many fish;;;;;;;;;;;
Anthony6;CHI;I wanna count;TRP;;recycling;;;;;big repeat;;;
Anthony6;CHI;I- I want some cookie;same-turn;recycling;;;;;;small repeat;;;
Anthony6;CHI;and now let's eat some x[xx];same-turn;aborting;;;;;;;overlap;;
Anthony6;MOT;[Anthony];;;;;;;;;;;
Anthony6;CHI;this;same-turn;aborting;;;;;;;;;
Anthony6;CHI;the summer;;;;;;;;;;;
Anthony6;MOT;right;;;;;;;;;;;
Anthony6;CHI;the s;Third-turn;;;recycling;;;;;;;
Anthony6;CHI;the s;same-turn;aborting;;;;;;;;;
Anthony6;CHI;the blocks xxx;same-turn;aborting;;;;;;;;;
Anthony6;CHI;a legos stack xxx;same-turn;reordering;;;;;;;;;
Anthony6;CHI;and a block stack;same-turn;reordering;;;;;;;;;
Anthony6;CHI;what's higher;;;;;;;;;;;
Anthony6;CHI;what's higher;TRP;;recycling;;;;;big repeat;no uptake;;
Anthony6;CHI;what's higher;TRP;;recycling;;;;;big repeat;no uptake;;
Anthony6;CHI;what's higher;TRP;;recycling;;;;;big repeat;no uptake;;
Anthony6;CHI;which one has little;;;;;;;;;;;
Anthony6;CHI;which one is little;TRP;;replacing;;;;;;correcting grammar;;
