Speaker;Utterance
MOT;what'd you find
MOT;who's in there
MOT;oop which one's that
MOT;who was it
MOT;I didn't even see
MOT;who's that
CHI;clown
MOT;clown
CHI;how do you make this thing xxx
MOT;I don't know let's see
MOT;does it roll
CHI;no
MOT;roll it towards you
MOT;there you go
MOT;oh another clown
MOT;which one is it
MOT;oop
MOT;you gotta hit that guy
MOT;push it down
MOT;okay now push
MOT;oop
MOT;xxx circus
MOT;ooh look at
MOT;do you see the xxx
MOT;it's a little bunny
MOT;gotta push him down first
MOT;push him down
MOT;what is that
MOT;lion
MOT;what else do you see around
MOT;looks like there might be something interesting
MOT;of course your favorite is here too
MOT;baby
MOT;oh
MOT;what you gonna do
CHI;take
MOT;is she gonna take a bath
CHI;sss
MOT;oh she needs to take her jammies off to take a bath
CHI;she she xxx
MOT;she what
CHI;she [put?] this off
MOT;be careful don't rip her
MOT;whoops
MOT;want to put her in the tubby
CHI;yeah xx
CHI;put her head like this
MOT;ha she doesn't look very comfortable in the tub does she
CHI;sit
MOT;sit baby sit
MOT;oh there you go
MOT;that's good
MOT; where's the wash cloth
CHI;here
CHI;the the soap
MOT;you wanna use the soap
MOT;here
MOT;can you smell
MOT;that looks like a bottle
MOT;maybe she might need a bottle after she
MOT;oh she's gonna eat in the tub
MOT;that doesn't sound very safe
CHI;eh then I'm gonna feed her
MOT;oh you're gonna feed her after she takes a bath
MOT;she even has toys in the tubby
CHI;bathy
MOT;get her all clean
CHI;mmm
MOT;here's the wash cloth
CHI;this is the soap
MOT;a little sponge
CHI;the soap
MOT;that's the soap
MOT;oh yeah get her face nice and clean
MOT;legs and tummy
CHI;xxx
MOT;good job
MOT;she looks nice and squeaky clean
MOT;are you gonna rinse her
MOT;good idea
CHI;is this a cup
MOT;yeah
MOT;oh nice clean hair
MOT;[do you w]anna get her blankie [ready for her to] come out
CHI;[the s-] [where's the soap]
CHI;where's the soap
MOT;why don't you pretend wanna pretend that's the soap
CHI;this is
MOT;oh that is
MOT;okay
MOT;good job
MOT;very nice
MOT;here you wanna open this up
MOT;so she can wanna wrap her up
CHI;let's put her jammies on
MOT;oh you wanna put her jammies on now
MOT;okay
CHI;xxx
CHI;and I'm gonna read her a story
MOT;oh you're gonna read her a story
MOT;what a good idea
CHI;and she wants to play
MOT;and she wants to play
MOT;okay
