Speaker;Utterance
MOT;toy
MOT;how come you weren't talking
MOT;hey look at all the toys buddy
MOT;look at them
MOT;all kinds of stuff, huh
CHI;nothing
MOT;there's nothing
CHI;nothing
MOT;looks like there's a lot to me
MOT;what do you think
CHI;it's all for me
MOT;oh, it's all for you
MOT;what's that do
MOT;ooh
MOT;what are you doing
MOT;fall down
MOT;huh
CHI;xxx
MOT;oh what you want xxx in that
CHI;hey, xxx
MOT;ribbit
MOT;ribbit
MOT;ribbit
MOT;what's in there
MOT;what's that
MOT;is than an octopus in there
CHI;and where's the snake
MOT;where's the snake
MOT;uh, I don't think the snake's out here babe
MOT;I don't think we're at the snake yet
MOT;maybe later
MOT;hey, you think the froggy wants to go for a ride on the bus
CHI;no
MOT;why not
CHI;no
CHI;no, it's not
CHI;it's n- it's not
MOT;he can't go in there
CHI;no cause he [xxx]
MOT;[can] the fishie go in there
MOT;hey, how about the fishie
MOT;the fishie go for a ride
MOT;what are you doing
MOT;you want that thing to pop up
MOT;look at this thing too
MOT;you see this one
MOT;you can make them pop up
MOT;no, no, you gotta use the buttons down here
MOT;you push that one
MOT;see
MOT;you roll this one
MOT;spin this one
MOT;spin it
MOT;there you go
MOT;there you go
CHI;no man
MOT;no
MOT;no
MOT;gentle, gentle
MOT;don't break it
MOT;hey, who's that kid
MOT;who's that guy
MOT;who's that
MOT;who is that
MOT;you know who that is
MOT;no
MOT;hmm, what did you do to this
MOT;doesn't make noise
MOT;whoa
MOT;you know it's a powder
CHI;no it's for baby
MOT;oh, that's for the baby
MOT;you wanna put powder on baby
MOT;does baby need powder
MOT;does baby need
MOT;is the baby hungry
MOT;yeah
MOT;there you go
MOT;feed the baby
CHI;that- that's not baby brush
MOT;that's not the baby brush
MOT;no
MOT;teddy_bear
MOT;brush teddy_bear
MOT;no
MOT;oh is that for the baby
MOT;oh that's nice of you
MOT;that's nice of you
MOT;ribbit
MOT;ribbit
CHI;that's not for me
MOT;oh that's for the baby too
MOT;okay
MOT;what's in here
CHI;hm i don't know what that is
MOT;is that fishie
MOT;what's this
MOT;what is it
MOT;what's that called
MOT;do you know
MOT;you got bowl
MOT;and a spoon
MOT;these are a bunch of blocks
MOT;blocks are fun
CHI;wanna build something
MOT;you wanna build something
CHI;I'm gon- I'm gonna knock over the spoon
