Speaker;Utterance
MOT;look at all these fun toys
MOT;Albert
MOT;wow
CHI;I'm turning the faucet on hot
MOT;good
MOT;let's put in on cold
MOT;first
MOT;too
CHI;it's on hot
MOT;we should probably put it on cold
MOT;ah
MOT;stir it in
MOT;make it nice and [warm] for the baby
CHI;[that-] that 
;(1.3)
CHI;that- that's the cold water draining
CHI;the cold water is draining
MOT;let's put her in the nice cool water
MOT;here she is
MOT;can you wash her hair
MOT;good
MOT;you can put powder on the baby
MOT;can you put some powder on her feet
CHI;why
MOT;why not
MOT;it'll make them smell good
MOT;and her hands
CHI;I don't know what this is
MOT;she's kind of thirsty
CHI;I don't know
MOT;it's a baby bottle
MOT;can you feed her
MOT;yum yum yum
MOT;yum yum yum
MOT;that's good
MOT;Albert
CHI;I don't know what that-
;(1.5)
CHI;I don't know what that is called
MOT;that's her eyebrows
CHI;why
MOT;can you brush her hair
CHI;I'm brushing the (.3) her eyebrows (.) a
CHI;all a
CHI;all around to
;(1.6)
CHI;to somewhere
MOT;wanna show her the frog
MOT;you wanna build something
MOT;let's build a block tower for her to look at
MOT;oh
MOT;we can give her some baby food
MOT;good
MOT;Albert
MOT;she's so happy
MOT;aww
MOT;she loves baby
MOT;apple sauce
MOT;right
MOT;give her a little more
CHI;xxx
CHI;gone
MOT;look at this one
MOT;did you see the bus
MOT;let's put the baby back
MOT;xxx the bus
MOT;huh
MOT;how does that work
MOT;oh
MOT;is the baby gonna go to school
MOT;aw
MOT;that's nice
CHI;it- it- it's going (.) to five ten fifty school
MOT;okay
MOT;we gotta stay over here
MOT;stay over here when you play
MOT;come here
MOT;oops
MOT;is the bus driver there
MOT;we need the bus driver
MOT;right
MOT;somebody needs to drive the bus
MOT;ooh
MOT;huh
MOT;good Albert
MOT;that's nice playing with the baby
MOT;she's going to school
MOT;oh
MOT;maybe you could play another song for her
MOT;wah
MOT;wah
MOT;the baby's crying
MOT;can you give her a hug
MOT;aw
MOT;the baby's hungry
MOT;hold the baby and give her some food
MOT;what's that
CHI;they're gonna take the
;(3.5)
CHI;the baby powder to school
MOT;oh
MOT;good idea
CHI;and they
CHI;and they talk about
;(1.2)
CHI;xxx
;(2.0)
CHI;then I'm gonna take 
;(1.5)
CHI;xxx
;(5.0)
MOT;what are they doing
CHI;they are 
;(3.0)
CHI;xxx
;(0.5)
CHI;th- that stuff um xxx
;(1.1)
CHI;that stuff's gonna be taken to 
;(2.0)
CHI;the school
MOT;okay
MOT;Albert
MOT;we're going to build a block tower
MOT;and knock it down for the baby
