Speaker;Utterance
CHI;xxx
CHI;xxx
CHI;xxx help, help, help
MOT;help
MOT;press the blue button, press the blue button, there you go
CHI;me me
MOT;me, right
CHI;xxx come
MOT;I think you got him to stay down
CHI;help, help
MOT;a little help
MOT;you push harder
CHI;xxx
MOT;what else do we have
CHI;win win win win
MOT;look at, look at all these other toys
CHI;win win win
CHI;xxx
MOT;scream right
MOT;look at all these other toys, Anthony, push
CHI;cow moo
MOT;forward, do you need help
CHI;xxx cow
MOT;okay, let's see what else we got
CHI;xxx
CHI;cause it xxx
CHI;xxx
MOT;can you turn the wheel
CHI;xxx
MOT;ah Anthony
MOT;do you wanna play with the blocks
MOT;let's play with the blocks
MOT;let's play with the blocks, okay
MOT;can you hand me the letter M
MOT;where's the letter M block
CHI;M, M, M
MOT;that's a good one too
MOT;let's stack the blocks
MOT;ready
MOT;ready
CHI;stack
MOT;let's build a tower
MOT;your turn
CHI;stack stack
MOT;your turn
MOT;good job
MOT;can mommy have a turn
MOT;mommy's turn
CHI;say mommy's turn
MOT;we're gonna knock it down
MOT;wow
MOT;we knocked it down
CHI;wow
MOT;okay, we're still playing with the blocks okay
MOT;let's take turns building the tower
MOT;Anthony, hand me the put on the
MOT;put on the yellow block, okay
CHI;see
MOT;good job putting on the yellow block
CHI;see, xxx
MOT;Anthony, we're gonna play with the yellow block
MOT;okay , come on, we're gonna build a tower
CHI;xxx
MOT;let's build a tower
CHI;ma momma standing over again
MOT;let's build a tower
MOT;let's build a tower
CHI;xxx
MOT;Anthony, look
MOT;watch, watch, watch, watch
MOT;look, look, look, look
MOT;do you wanna knock it down
MOT;ah knock it down
MOT;now you build
MOT;you build it
MOT;you build it and mommy will knock it down
MOT;ah, ah, ah, ah, hurry up back here
MOT;get back here, get back here, get back here
MOT;okay, we're gonna play with the blocks
MOT;I want the
CHI;xxx
MOT;what letter is this
CHI;xxx
MOT;what letter is this
CHI;xxx
MOT;what letter is that
CHI;ey, oh oh
MOT;Anthony
CHI;oh, xxx
MOT;why is it whenever you know you're being tested you act like this
CHI;xxx
MOT;huh
CHI;mine
MOT;let's go
CHI;no
MOT;let's build a tower
CHI;no no no
MOT;oh, you little you little silly
MOT;do you wanna read the book
