file,Speaker,Utterance,type,reptype,pause,search,repeat,cause,other
Adam5,CHI,I have a nice chair that we bought f- for- (.) for you,same-turn,recycling,short pause,NA,small repeat,stuttering,NA
Adam5,CHI,[it's],same-turn,aborting,NA,NA,NA,overlap,NA
Adam5,CHI,maybe you (.) [xxx],same-turn,aborting,NA,NA,NA,overlap,NA
Adam5,CHI,it's so comfy that you,same-turn,aborting,short pause,NA,NA,NA,NA
Adam5,CHI,no one can leave it,same-turn,replacing,NA,NA,NA,NA,NA
Adam5,CHI,"no one can sit on, on our chair",TRP,replacing,short pause,NA,NA,NA,NA
Adam5,CHI,"no one can sit on, on our chair",same-turn,recycling,NA,NA,small repeat,stuttering,NA
Adam5,CHI,whenever you want,same-turn,aborting,short pause,NA,NA,NA,NA
Adam5,CHI,whenever you,same-turn,aborting,short pause,NA,NA,NA,NA
Adam5,CHI,you,same-turn,aborting,NA,NA,NA,NA,NA
Adam5,CHI,you,same-turn,aborting,NA,NA,NA,NA,NA
Adam5,CHI,you tell him you you can come to my house,same-turn,recycling,NA,NA,small repeat,stuttering,NA
Adam5,CHI,whenever you,TRP,recycling,NA,repetition search,big repeat,NA,NA
Adam5,CHI,you,TRP,recycling,NA,repetition search,small repeat,NA,NA
Adam5,CHI,you,TRP,recycling,NA,repetition search,small repeat,NA,NA
Adam5,CHI,you tell him you you can come to my house,TRP,reformatting,NA,NA,NA,NA,NA
Adam5,CHI,like,same-turn,aborting,short pause,NA,NA,NA,NA
Adam5,CHI,well you gonna,same-turn,aborting,short pause,NA,NA,NA,NA
Adam5,CHI,xxx how about we go at the same time tomorrow,same-turn,reformatting,NA,NA,NA,NA,NA
Adam5,CHI,they're going to the,same-turn,aborting,NA,NA,NA,NA,NA
Adam5,NA,(1.0),same-turn,searching,long pause,pause search,NA,NA,NA
Adam5,CHI,he's going to grab,same-turn,aborting,long pause,NA,NA,NA,NA
Adam5,CHI,"I'm going to jump to lily pad to lily pad and make this, this lily pad broke and go and catch you in my net",same-turn,recycling,NA,NA,small repeat,stuttering,NA
Adam5,CHI,he's giving up,NA,NA,short pause,NA,NA,NA,NA
Adam5,CHI,giving up,TRP,recycling,short pause,NA,big repeat,NA,NA
Adam5,CHI,maybe the- the kid stopped frog and,same-turn,aborting,NA,NA,small repeat,stuttering,NA
Adam5,NA,(1.0),same-turn,searching,long pause,pause search,NA,NA,NA
Adam5,CHI,uh,same-turn,searching,NA,small search,NA,NA,NA
Adam5,NA,(0.5),same-turn,searching,long pause,pause search,NA,NA,NA
Adam5,CHI,maybe the- the kid stopped frog and,same-turn,recycling,NA,NA,small repeat,stuttering,NA
Adam5,CHI,"the, a boy",same-turn,replacing,NA,NA,NA,correcting grammar,NA
Adam5,CHI,he's going in the bath,TRP,recycling,NA,NA,big repeat,overlap,NA
Adam5,CHI,I like,same-turn,aborting,short pause,NA,NA,NA,NA
Adam5,CHI,I like the boy best,same-turn,recycling,short pause,NA,big repeat,NA,NA
Adam5,CHI,I like the frog,TRP,replacing,NA,NA,NA,NA,NA
Adam5,CHI,why did it this,same-turn,aborting,NA,NA,NA,NA,NA
Adam5,CHI,why did,same-turn,aborting,NA,NA,NA,NA,NA
Adam5,CHI,why was this back,same-turn,reformatting,NA,NA,NA,NA,NA
Adam5,CHI,why did it this,same-turn,replacing,NA,NA,NA,misspeak,NA
Adam5,CHI,why did,same-turn,recycling,NA,NA,big repeat,NA,NA
Adam5,CHI,"even, even better than air",same-turn,recycling,NA,NA,small repeat,stuttering,NA
Adam5,CHI,"it's, it's in front of you",same-turn,recycling,NA,NA,small repeat,stuttering,NA
Adam5,CHI,"and then, and then say banana when you say go",same-turn,recycling,NA,NA,small repeat,stuttering,NA
Adam5,CHI,a banana,TRP,inserting,NA,NA,NA,NA,NA
Adam5,CHI,"I want, I put it on your head",same-turn,replacing,NA,NA,NA,NA,NA
Adam5,CHI,"the wand, the magic wand touched the snake and the elephant go here",same-turn,inserting,NA,NA,NA,NA,NA
Adam5,CHI,well remember don't run in the woods because they're wild animal there that could eat,NA,NA,short pause,NA,NA,NA,NA
Adam5,CHI,"could get eaten by the, by the wild animals",same-turn,reformatting,NA,NA,NA,NA,NA
Adam5,CHI,"could get eaten by the, by the wild animals",same-turn,recycling,NA,NA,small repeat,stuttering,NA
Adam5,CHI,Africa doesn't have the,same-turn,aborting,short pause,NA,NA,NA,NA
Adam5,CHI,"Africa is not the place where, where they have to water soap",TRP,reformatting,NA,NA,NA,NA,NA
Adam5,CHI,"let's go there, but",same-turn,aborting,short pause,NA,NA,NA,NA
Adam5,CHI,they just have a restaurant that has animatronics animals that are,same-turn,aborting,short pause,NA,NA,NA,NA
Adam5,CHI,animals that are,TRP,recycling,long pause,repetition search,big repeat,NA,NA
Adam5,CHI,"Africa is not the place where, where they have to water soap",same-turn,recycling,NA,NA,small repeat,stuttering,NA
Adam5,CHI,it's just a pretend restaurant words,TRP,inserting,NA,NA,NA,NA,NA
