file,Speaker,Utterance,type,reptype,pause,search,repeat,cause,other
Albert6,NA,(1.5),same-turn,searching,long pause,pause search,NA,NA,NA
Albert6,CHI,I don't know what that is called,same-turn,recycling,NA,NA,big repeat,NA,NA
Albert6,CHI,I'm brushing the (.3) her eyebrows (.) a,same-turn,replacing,short pause,NA,NA,NA,NA
Albert6,CHI,all a,same-turn,recycling,NA,NA,small repeat,NA,NA
Albert6,CHI,all around to,same-turn,recycling,NA,NA,small repeat,NA,NA
Albert6,NA,(1.6),same-turn,searching,long pause,pause search,NA,NA,NA
Albert6,CHI,to somewhere,NA,NA,NA,NA,small repeat,NA,NA
Albert6,CHI,I'm brushing the (.3) her eyebrows (.) a,same-turn,aborting,NA,NA,NA,NA,NA
Albert6,CHI,all a,same-turn,aborting,NA,NA,NA,NA,NA
Albert6,CHI,all around to,same-turn,recycling,NA,NA,NA,NA,NA
Albert6,CHI,it- it- it's going (.) to five ten fifty school,same-turn,recycling,NA,NA,small repeat,stuttering,NA
Albert6,NA,(3.5),same-turn,searching,long pause,pause search,NA,NA,NA
Albert6,CHI,the baby powder to school,same-turn,recycling,NA,NA,small repeat,NA,NA
Albert6,CHI,and they,same-turn,aborting,NA,NA,small repeat,NA,NA
Albert6,CHI,and they talk about,same-turn,recycling,NA,NA,NA,NA,NA
Albert6,NA,(1.2),same-turn,searching,long pause,pause search,NA,NA,NA
Albert6,NA,(2.0),NA,NA,long pause,NA,NA,NA,NA
Albert6,NA,(1.5),same-turn,searching,long pause,pause search,NA,NA,NA
Albert6,NA,(5.0),NA,NA,long pause,NA,NA,NA,NA
Albert6,NA,(3.0),same-turn,searching,long pause,pause search,NA,NA,NA
Albert6,NA,(0.5),same-turn,searching,short pause,NA,NA,NA,NA
Albert6,CHI,th- that stuff um xxx,same-turn,recycling,NA,small search,NA,stuttering,NA
Albert6,NA,(1.1),same-turn,searching,long pause,pause search,NA,NA,NA
Albert6,CHI,that stuff's gonna be taken to,same-turn,recycling,NA,NA,NA,NA,NA
Albert6,NA,(2.0),same-turn,searching,long pause,pause search,NA,NA,NA
Albert6,CHI,eh [wh-],same-turn,aborting,NA,NA,NA,overlap,NA
Albert6,CHI,why did it do that,Third-turn,recycling,NA,NA,small repeat,NA,NA
Albert6,CHI,no wanna leg- legos,same-turn,recycling,NA,NA,small repeat,stuttering,NA
Albert6,CHI,I,same-turn,recycling,NA,NA,small repeat,stuttering,NA
Albert6,CHI,I need it,same-turn,recycling,NA,NA,small repeat,stuttering,NA
Albert6,CHI,this,TRP,replacing,NA,NA,NA,NA,NA
Albert6,CHI,this from those people,TRP,recycling,NA,NA,small repeat,stuttering,NA
Albert6,CHI,um,same-turn,searching,NA,small search,NA,NA,NA
Albert6,CHI,how do you open that,Third-position,specification,NA,NA,NA,NA,NA
Albert6,CHI,I don't know what that's called,Third-position,specification,NA,NA,NA,NA,NA
Albert6,CHI,I don't know what,same-turn,aborting,NA,NA,NA,NA,NA
Albert6,CHI,um,same-turn,searching,NA,small search,NA,NA,NA
Albert6,CHI,uh,NA,NA,NA,small search,NA,NA,NA
Albert6,CHI,um,same-turn,searching,NA,NA,NA,NA,NA
Albert6,CHI,I want that one,same-turn,recycling,NA,NA,small repeat,NA,NA
Albert6,CHI,stop,TRP,recycling,NA,NA,small repeat,no uptake,NA
Albert6,CHI,wh- wh- why did it,same-turn,recycling,NA,NA,small repeat,stuttering,NA
Albert6,CHI,why,same-turn,recycling,NA,NA,small repeat,NA,NA
Albert6,CHI,why did it,same-turn,recycling,NA,NA,big repeat,NA,NA
Albert6,CHI,why did it do that,same-turn,recycling,NA,NA,big repeat,NA,NA
Albert6,CHI,wh- wh- why did it,same-turn,aborting,NA,NA,NA,NA,NA
Albert6,CHI,why,same-turn,aborting,NA,NA,NA,NA,NA
Albert6,CHI,why did it,same-turn,aborting,NA,NA,NA,NA,NA
Albert6,CHI,stop doing,same-turn,aborting,NA,NA,NA,NA,NA
Albert6,CHI,stop getting it right now,same-turn,replacing,NA,NA,NA,NA,NA
Albert6,CHI,you're gonna,same-turn,aborting,NA,NA,NA,NA,NA
Albert6,CHI,you're gonna,Third-turn,recycling,NA,NA,big repeat,NA,NA
Albert6,CHI,you're gonna- you're gonna have it [xxx],Third-turn,recycling,NA,NA,big repeat,NA,NA
Albert6,CHI,you're gonna- you're gonna have it [xxx],same-turn,recycling,NA,NA,big repeat,NA,NA
Albert6,CHI,I,same-turn,recycling,NA,NA,small repeat,stuttering,NA
Albert6,CHI,I,same-turn,recycling,NA,NA,small repeat,stuttering,NA
Albert6,CHI,I'm gonna move this,same-turn,recycling,NA,NA,small repeat,stuttering,NA
Albert6,CHI,this xxx bag,same-turn,recycling,NA,NA,small repeat,stuttering,NA
Albert6,CHI,I'm I'm,same-turn,recycling,NA,NA,small repeat,stuttering,NA
Albert6,CHI,I'm I'm,same-turn,recycling,NA,NA,small repeat,stuttering,NA
Albert6,CHI,I'm,same-turn,recycling,NA,NA,small repeat,stuttering,NA
Albert6,CHI,I'm i'm,same-turn,recycling,NA,NA,small repeat,stuttering,NA
Albert6,CHI,I wanna scan it before I put it in that bag,same-turn,reformatting,NA,NA,NA,NA,NA
Albert6,CHI,this is stuff,TRP,replacing,NA,NA,NA,NA,NA
